site_id,survey_date,pit_tag_id
54188,2021-06-28,982126058790718
54188,2021-06-28,982126058790820
54188,2021-06-28,982126058790827
54188,2021-06-28,982126058790853
54188,2021-06-28,982126058790867
54188,2021-06-28,982126058790892
54188,2021-06-28,982126058790942
54188,2021-06-28,982126058790957
54188,2021-06-28,982126058790961
54188,2021-06-28,982126058790965
54188,2021-06-28,982126058790985
54188,2021-06-28,982126058790991
54188,2021-06-28,982126058791011
54188,2021-06-28,982126058791017
54188,2021-06-28,982126058791032
54188,2021-06-28,982126058791040
54188,2021-06-28,982126058791065
54188,2021-06-28,982126058791085
54188,2021-06-28,982126058791131
54188,2021-06-29,982126058790666
54188,2021-06-29,982126058790760
54188,2021-06-29,982126058790762
54188,2021-06-29,982126058790806
54188,2021-06-29,982126058790892
54188,2021-06-29,982126058790963
54188,2021-06-29,982126058790972
54188,2021-06-29,982126058790987
54188,2021-06-29,982126058790998
54188,2021-06-29,982126058791011
54188,2021-06-29,982126058791013
54188,2021-06-29,982126058791026
54188,2021-06-29,982126058791030
54188,2021-06-29,982126058791043
54188,2021-08-29,982091064358029
54188,2021-08-29,982091064358044
54188,2021-08-29,982091064358049
54188,2021-08-29,982091064358065
54188,2021-08-29,982091064358068
54188,2021-08-29,982091064358094
54188,2021-08-29,982126058791159
54188,2021-08-29,982126058791168
54188,2021-08-29,982126058791181
54188,2021-08-29,982126058791229
54188,2021-08-29,982126058791255
54188,2021-08-30,982091064358014
54188,2021-08-30,982091064358049
54188,2021-08-30,982091064358051
54188,2021-08-30,982091064358061
54188,2021-08-30,982091064358075
54188,2021-08-30,982091064358120
54188,2021-08-30,982091064358121
54188,2021-08-30,982091064358150
54188,2021-08-30,982091064358157
54188,2021-08-30,982091064358160
54188,2021-08-30,982091064358197
54188,2021-08-30,982091064358260
54188,2021-08-30,982126058790864
54188,2021-08-30,982126058790957
54188,2021-08-30,982126058790965
54188,2021-08-30,982126058790969
54188,2021-08-30,982126058790987
54188,2021-08-30,982126058791009
54188,2021-08-30,982126058791032
54188,2021-08-30,982126058791082
54188,2021-08-30,982126058791116
54188,2021-08-30,982126058791147
54188,2021-08-30,982126058791151
54188,2021-08-30,982126058791159
54188,2021-08-30,982126058791190
54188,2021-08-30,982126058791198
54188,2021-08-30,982126058791200
54188,2021-08-30,982126058791287
54188,2021-08-31,982091064358029
54188,2021-08-31,982091064358075
54188,2021-08-31,982091064358133
54188,2021-08-31,982091064358134
54188,2021-08-31,982091064358207
54188,2021-08-31,982091064358260
54188,2021-08-31,982126058790889
54188,2021-08-31,982126058790960
54188,2021-08-31,982126058791009
54188,2021-08-31,982126058791032
54188,2021-08-31,982126058791043
54188,2021-08-31,982126058791060
54188,2021-08-31,982126058791074
54188,2021-08-31,982126058791080
54188,2021-08-31,982126058791116
54188,2021-08-31,982126058791144
54188,2021-08-31,982126058791159
54188,2021-08-31,982126058791168
54188,2021-08-31,982126058791200
54188,2021-08-31,982126058791255
54188,2022-08-20,900043000144937
54188,2022-08-20,982091064358207
54188,2022-08-20,982091064358217
54188,2022-08-20,982091064358225
54188,2022-08-20,982091064358242
54188,2022-08-20,982091064358270
54188,2022-08-20,982091064358290
54188,2022-08-20,982091064358291
54188,2022-08-20,982126058791200
54188,2022-08-20,982126058791206
54188,2022-08-20,982126058791279
54188,2022-08-20,982126058791339
54188,2022-08-21,900043000236638
54188,2022-08-21,900043000236666
54188,2022-08-21,900043000236694
54188,2022-08-21,982091064358029
54188,2022-08-21,982091064358038
54188,2022-08-21,982091064358061
54188,2022-08-21,982091064358067
54188,2022-08-21,982091064358098
54188,2022-08-21,982091064358117
54188,2022-08-21,982091064358133
54188,2022-08-21,982091064358138
54188,2022-08-21,982091064358205
54188,2022-08-21,982091064358217
54188,2022-08-21,982091064358238
54188,2022-08-21,982091064358242
54188,2022-08-21,982091064358281
54188,2022-08-21,982126058790965
54188,2022-08-21,982126058791011
54188,2022-08-21,982126058791015
54188,2022-08-21,982126058791032
54188,2022-08-21,982126058791168
54188,2022-08-21,982126058791190
54188,2022-08-21,982126058791200
54188,2022-08-21,982126058791206
54188,2022-08-22,900043000236601
54188,2022-08-22,900043000236603
54188,2022-08-22,900043000236625
54188,2022-08-22,900043000236626
54188,2022-08-22,900043000236628
54188,2022-08-22,900043000236638
54188,2022-08-22,900043000236642
54188,2022-08-22,900043000236651
54188,2022-08-22,900043000236657
54188,2022-08-22,900043000236660
54188,2022-08-22,900043000236666
54188,2022-08-22,900043000236680
54188,2022-08-22,900043000236681
54188,2022-08-22,900043000236684
54188,2022-08-22,900043000236692
54188,2022-08-22,900043000236699
54188,2022-08-22,982091064358038
54188,2022-08-22,982091064358044
54188,2022-08-22,982091064358094
54188,2022-08-22,982091064358098
54188,2022-08-22,982091064358197
54188,2022-08-22,982091064358207
54188,2022-08-22,982091064358237
54188,2022-08-22,982091064358253
54188,2022-08-22,982091064358265
54188,2022-08-22,982091064358270
54188,2022-08-22,982091064358281
54188,2022-08-22,982091064358302
54188,2022-08-22,982126058790760
54188,2022-08-22,982126058790892
54188,2022-08-22,982126058790965
54188,2022-08-22,982126058791030
54188,2022-08-22,982126058791168
